Motif ID	1	2	3	4	5	6	7	8
M0018_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0019_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0020_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0021_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0022_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0023_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0024_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0025_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0026_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0027_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0028_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0029_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0030_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0031_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0032_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0033_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0034_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0035_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0036_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0037_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0038_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0039_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0040_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0041_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0042_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0043_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0044_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0072_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0073_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0075_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0076_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0077_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0078_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0079_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0080_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0118_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0119_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0120_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0121_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0123_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0124_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0125_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0128_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0129_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0130_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0133_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0135_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0136_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0144_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0146_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0147_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0149_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0150_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0151_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0152_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0153_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0154_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.202433638546
M0155_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.419485277558
M0156_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.367080716006
M0157_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0158_1.02	1.0	1.0	1.0	1.0	0.681517240633	1.0	1.0	1.0
M0159_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.64968881145
M0160_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0161_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.740030424946
M0162_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0163_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0493963717222
M0164_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0165_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0237719292863
M0166_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0167_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0110520395177
M0229_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0250_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.548578884059
M0251_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.206618380846
M0252_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0255_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.0153565850306	1.0
M0256_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.00161855865327	1.0
M0257_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.00651995057328	1.0
M0258_1.02	1.0	1.0	1.0	1.0	0.310592394714	1.0	0.0015606382039	1.0
M0259_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0260_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0261_1.02	1.0	1.0	1.0	1.0	0.104707559895	1.0	0.000100164986398	1.0
M0262_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0263_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0264_1.02	1.0	1.0	1.0	1.0	0.364918359739	1.0	1.0	1.0
M0265_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0266_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.130110550515	1.0
M0267_1.02	0.131502964568	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0268_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.0155476098707	1.0
M0269_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0270_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0271_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0272_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0273_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0329_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.0409223085379	1.0
M0359_1.02	1.0	1.0	1.0	1.0	1.0	1.0	0.0144316863943	1.0
M0369_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
M0370_1.02	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
