Treatment,Botrytis,Drought,High Light,Pst,Long Day Senescence,Short Day Senescence
CATMA1a04330,1,0,1,1,0,0
CATMA1a04350,0,0,0,0,1,0
CATMA1a04370,0,0,1,1,0,0
CATMA1a04400,0,0,1,0,0,0
CATMA1a04420,0,0,1,0,0,0
CATMA1a04450,0,0,0,0,1,0
CATMA1a04500,1,0,1,0,1,0
CATMA1a04550,1,0,0,1,1,1
CATMA1a04560,1,0,1,0,1,0
CATMA1a04600,1,1,1,1,1,0
CATMA1a04660,1,0,0,0,1,0
CATMA1a04670,1,1,1,1,1,0
CATMA1a04690,1,0,0,0,0,1
CATMA1a04700,0,0,0,0,1,0
CATMA1a04710,1,1,0,0,1,1
CATMA1a04720,1,0,0,0,1,1
CATMA1a04730,0,0,1,0,0,0
CATMA1a04780,1,0,0,0,1,0
CATMA1a04790,1,0,0,0,0,0
CATMA1a04800,0,0,1,0,0,0
CATMA1a04830,0,0,0,0,1,1
CATMA1a04840,1,0,0,0,0,0
CATMA1a04860,0,0,0,1,0,0
CATMA1a04870,1,0,0,1,1,1
CATMA1a04880,1,0,0,0,1,0
CATMA1a04890,1,1,0,0,0,0
CATMA1a04910,0,1,0,0,0,0
CATMA1a04920,0,0,0,1,1,1
CATMA1a04940,1,0,0,0,0,0
CATMA1a04980,1,0,0,0,0,0
CATMA1a05000,1,0,0,0,0,0
CATMA1a05010,1,0,1,0,0,0
CATMA1a05030,0,0,0,0,1,0
CATMA1a05040,0,0,1,0,0,0
CATMA1a05065,1,1,0,0,1,0
CATMA1a05070,1,0,1,1,1,0
CATMA1a05080,0,0,0,0,1,0
CATMA1a05090,1,0,1,0,1,0
CATMA1a05120,1,1,0,0,1,1
CATMA1a05150,0,1,0,0,0,0
CATMA1a05160,1,0,0,0,0,0
CATMA1a05190,0,1,0,0,0,0
CATMA1a05200,1,0,0,0,1,0
CATMA1a05210,1,0,0,0,0,0
CATMA1a05220,1,1,1,1,1,0
CATMA1a05230,1,0,0,1,1,1
CATMA1a05240,1,0,1,0,0,0
CATMA1a05250,0,1,0,0,1,1
CATMA1a05280,0,0,0,0,0,1
CATMA1a05290,1,0,1,1,1,1
CATMA1a05370,1,0,0,0,0,0
CATMA1a05420,1,0,1,0,0,1
CATMA1a05430,1,0,0,0,1,0
CATMA1a05435,1,0,0,0,1,1
CATMA1a05440,0,0,1,0,0,0
CATMA1a05460,0,0,0,0,1,1
CATMA1a05470,1,0,1,0,0,0
CATMA1a05490,1,1,0,1,0,1
CATMA1a05500,0,0,0,0,1,0
CATMA1a05510,0,1,1,0,0,0
CATMA1a05530,0,0,1,0,0,0
CATMA1a05550,0,0,0,1,1,0
CATMA1a05570,0,0,1,0,0,0
CATMA1a05580,1,0,0,0,0,1
CATMA1a05590,0,1,0,0,1,1
CATMA1a05600,1,0,0,0,1,0
CATMA1a05610,0,0,1,0,0,0
CATMA1a05615,0,0,1,1,1,1
CATMA1a05650,1,0,0,1,1,0
CATMA1a05710,1,0,0,0,0,1
CATMA1a05720,1,1,1,1,1,1
CATMA1a05730,1,0,1,0,1,1
CATMA1a05760,1,0,0,0,0,1
CATMA1a05790,1,0,0,0,0,1
CATMA1a05820,0,0,1,0,0,1
CATMA1a05870,1,0,1,0,0,0
CATMA1a05880,0,1,0,0,0,0
CATMA1a05890,0,0,0,1,1,0
CATMA1a05920,0,0,0,0,1,0
CATMA1a05930,1,0,0,0,0,0
CATMA1a05960,1,0,0,0,1,0
CATMA1a05980,0,0,1,0,0,0
CATMA1a06010,1,0,1,0,1,1
CATMA1a06020,1,0,0,0,1,1
CATMA1a06040,0,1,1,0,0,0
CATMA1a06060,1,0,0,1,1,0
CATMA1a06070,1,0,1,1,1,0
CATMA1a06080,1,0,1,0,0,0
CATMA1a06100,1,0,0,0,0,0
CATMA1a06110,1,0,0,1,1,1
CATMA1a06120,1,0,0,1,1,0
CATMA1a06140,1,0,0,0,1,1
CATMA1a06150,1,1,0,0,1,1
CATMA1a06160,0,0,1,0,1,1
CATMA1a06165,1,0,1,1,1,0
CATMA1a06180,1,1,1,1,1,1
CATMA1a06190,1,1,1,1,1,0
CATMA1a06195,1,0,0,0,0,0
CATMA1a06200,1,0,1,0,0,0
CATMA1a06210,1,0,0,0,0,0
CATMA1a06230,0,0,0,0,1,0
CATMA1a06260,1,0,1,0,0,0
CATMA1a06280,1,1,0,0,1,1
CATMA1a06290,0,0,1,0,0,1
CATMA1a06310,1,1,0,0,0,0
CATMA1a06330,1,0,1,1,0,1
CATMA1a06340,0,0,1,1,1,1
CATMA1a06370,1,0,1,0,1,1
CATMA1a06380,1,1,0,0,1,1
CATMA1a06385,1,1,0,1,1,1
CATMA1a06390,1,0,0,0,1,0
CATMA1a06400,1,0,1,0,0,1
CATMA1a06410,1,0,1,1,0,0
CATMA1a06420,0,0,1,1,0,1
CATMA1a06430,1,0,1,0,0,0
CATMA1a06435,1,1,0,0,1,1
CATMA1a06440,1,1,0,0,1,1
CATMA1a06460,0,0,0,0,0,1
CATMA1a06470,1,0,1,1,1,0
CATMA1a06480,0,0,1,0,0,0
CATMA1a06490,0,1,1,0,1,0
CATMA1a06500,0,1,0,1,1,1
CATMA1a06520,0,0,0,0,1,1
CATMA1a06580,1,1,1,1,1,1
CATMA1a06590,0,1,0,0,1,1
CATMA1a06610,0,1,0,0,1,1
CATMA1a06670,0,0,0,1,0,0
CATMA1a06680,0,0,0,1,1,0
CATMA1a06690,1,0,0,0,0,0
CATMA1a06700,0,0,0,1,0,0
CATMA1a06705,0,0,0,0,1,0
CATMA1a06710,1,0,1,1,0,0
CATMA1a06715,0,0,0,0,1,0
CATMA1a06743,0,0,1,0,0,0
CATMA1a06750,1,0,1,1,1,0
CATMA1a06760,0,0,0,0,1,0
CATMA1a06780,1,1,0,1,0,0
CATMA1a06820,1,0,0,0,1,1
CATMA1a06840,0,0,0,1,0,0
CATMA1a06842,1,0,0,0,0,0
CATMA1a06850,0,0,1,0,0,0
CATMA1a06860,1,0,1,0,0,0
CATMA1a06862,1,0,0,0,0,0
CATMA1a06865,1,0,0,0,0,0
CATMA1a06867,1,0,0,0,0,0
CATMA1a06870,1,0,0,1,1,1
CATMA1a06872,1,0,0,0,0,0
CATMA1a06874,1,1,1,0,0,1
CATMA1a06876,0,1,1,0,0,0
CATMA1a06878,0,0,1,0,1,0
CATMA1a06910,0,0,0,0,1,0
CATMA1a06950,0,0,0,0,1,0
CATMA1a07020,1,1,0,0,0,0
CATMA1a07030,1,0,0,1,1,0
CATMA1a07035,0,1,0,0,0,0
CATMA1a07050,0,0,1,0,0,0
CATMA1a07080,0,0,0,0,1,1
CATMA1a07100,1,0,0,0,0,1
CATMA1a07110,1,0,0,0,0,0
CATMA1a07140,0,0,1,0,1,1
CATMA1a07180,0,0,0,0,1,0
CATMA1a07200,0,0,0,0,1,1
CATMA1a07210,1,0,1,0,0,0
CATMA1a07220,1,1,0,1,1,1
CATMA1a07230,0,0,1,0,0,1
CATMA1a07240,1,0,0,0,0,0
CATMA1a07270,0,0,0,1,1,0
CATMA1a07280,0,0,0,0,1,0
CATMA1a07300,0,0,0,0,1,0
CATMA1a07310,1,0,0,0,1,1
CATMA1a07320,1,0,0,0,1,0
CATMA1a07340,0,0,0,0,1,0
CATMA1a07350,0,0,0,0,1,0
CATMA1a07355,0,0,1,1,1,1
CATMA1a07360,1,0,1,1,1,1
CATMA1a07370,1,1,1,1,1,1
CATMA1a07380,1,0,1,0,0,0
CATMA1a07390,0,0,1,0,0,0
CATMA1a07425,1,0,0,0,0,0
CATMA1a07430,1,0,0,0,1,1
CATMA1a07435,0,0,1,0,0,0
CATMA1a07440,1,0,0,1,1,1
CATMA1a07450,0,0,1,0,0,0
CATMA1a07465,0,0,0,0,1,1
CATMA1a07475,0,0,1,1,0,0
CATMA1a07480,1,0,1,1,1,1
CATMA1a07490,1,0,0,0,0,0
CATMA1a07491,1,0,0,1,1,1
CATMA1a07493,1,0,1,1,1,1
CATMA1a07495,1,0,1,0,1,1
CATMA1a07498,0,0,0,0,1,1
CATMA1a07500,1,0,0,0,0,1
CATMA1a07520,0,0,0,0,0,1
CATMA1a07530,0,0,0,0,1,0
CATMA1a07540,1,0,0,1,0,1
CATMA1a07550,1,1,1,0,1,0
CATMA1a07560,0,0,1,0,1,0
CATMA1a07565,1,1,1,0,0,0
CATMA1a07570,1,0,0,0,1,1
CATMA1a07620,1,0,0,0,1,1
CATMA1a07630,1,0,0,0,1,1
CATMA1a07650,0,1,1,1,0,0
CATMA1a07660,1,0,0,0,0,0
CATMA1a07670,1,0,0,0,0,1
CATMA1a07680,1,0,0,0,1,1
CATMA1a07710,1,0,1,0,1,1
CATMA1a07725,0,0,0,0,1,1
CATMA1a07730,1,0,0,1,1,1
CATMA1a07735,1,0,0,0,1,0
CATMA1a07750,0,0,1,0,0,0
CATMA1a07760,0,0,0,1,0,0
CATMA1a07770,0,0,1,1,1,1
CATMA1a07793,1,0,0,1,1,0
CATMA1a07796,0,1,1,0,0,0
CATMA1a07800,1,0,1,1,1,1
CATMA1a07810,0,0,0,0,1,0
CATMA1a07815,0,0,0,0,1,0
CATMA1a07820,1,1,0,1,1,0
CATMA1a07840,1,0,1,0,1,0
CATMA1a07850,1,0,1,0,0,0
CATMA1a07860,1,1,0,0,1,1
CATMA1a07890,1,0,0,0,0,0
CATMA1a07895,1,0,0,0,1,1
CATMA1a07910,1,0,0,0,0,0
CATMA1a07920,1,0,1,0,0,1
CATMA1a07940,0,1,1,0,0,0
CATMA1a07950,1,0,0,0,0,0
CATMA1a07980,0,0,0,0,1,1
CATMA1a08000,1,0,0,0,1,0
CATMA1a08010,1,0,1,0,0,0
CATMA1a08030,0,0,1,0,0,1
CATMA1a08090,1,0,0,1,0,0
CATMA1a08110,0,0,0,0,0,1
CATMA1a08120,1,0,0,0,0,0
CATMA1a08130,0,0,0,0,0,1
CATMA1a08140,0,0,0,0,1,0
CATMA1a08170,0,0,0,0,1,0
CATMA1a08172,0,0,1,0,0,0
CATMA1a08190,0,0,0,0,1,0
CATMA1a08200,0,0,0,0,1,0
CATMA1a08210,0,0,0,0,1,0
CATMA1a08220,1,1,1,1,1,1
CATMA1a08240,0,0,1,0,0,0
CATMA1a08250,1,1,1,0,0,0
CATMA1a08260,0,0,0,0,1,1
CATMA1a08270,1,0,0,0,0,0
CATMA1a08280,0,1,1,1,1,1
CATMA1a08290,1,1,0,0,0,0
CATMA1a08380,1,0,0,1,1,0
CATMA1a08390,0,0,0,1,0,0
CATMA1a08395,1,1,0,1,1,1
CATMA1a08413,1,1,0,1,1,0
CATMA1a08416,1,0,1,0,1,1
CATMA1a08420,1,1,1,0,0,0
CATMA1a08430,0,1,0,0,0,0
CATMA1a08460,0,0,0,0,1,1
CATMA1a08470,1,0,0,0,0,0
CATMA1a08480,0,1,1,0,0,0
CATMA1a08490,0,0,0,1,0,0
CATMA1a08520,1,0,1,0,1,0
CATMA1a08550,1,1,1,0,0,1
CATMA1a08560,0,0,0,0,1,0
CATMA1a08570,1,0,1,0,0,0
CATMA1a08590,1,0,0,0,0,1
CATMA1a08600,1,0,0,1,1,0
CATMA1a08610,1,1,1,1,1,1
CATMA1a08613,1,0,1,0,0,0
CATMA1a08616,1,0,1,0,0,1
CATMA1a08620,0,1,1,0,0,0
CATMA1a08635,1,1,1,1,1,0
CATMA1a08640,1,0,0,0,1,0
CATMA1a08650,0,1,0,0,0,0
CATMA1a08670,0,0,0,1,1,1
CATMA1a08680,1,0,0,1,1,0
CATMA1a08685,1,0,0,0,0,0
CATMA1a08700,1,0,1,1,0,0
CATMA1a08720,0,0,0,1,0,0
CATMA1a08770,0,0,1,0,0,0
CATMA1a08780,1,0,0,0,1,1
CATMA1a08790,0,0,1,1,1,1
CATMA1a08810,0,0,0,1,0,0
CATMA1a08820,1,1,0,1,1,0
CATMA1a08830,1,0,1,0,0,1
CATMA1a08835,1,0,1,0,0,0
CATMA1a08840,0,0,1,0,0,0
CATMA1a08870,1,0,1,1,1,1
CATMA1a08880,0,1,0,0,0,1
CATMA1a08890,0,0,0,0,1,1
CATMA1a08900,1,0,0,0,1,0
CATMA1a08913,0,0,1,0,1,1
CATMA1a08916,1,1,1,1,1,1
CATMA1a08920,0,1,1,0,1,1
CATMA1a08930,0,0,0,0,0,1
CATMA1a08990,1,0,0,0,0,0
CATMA1a08995,0,0,0,0,1,1
CATMA1a09000,1,0,0,1,1,1
CATMA1a09010,1,0,1,0,1,1
CATMA1a09020,0,0,1,1,1,1
CATMA1a09040,0,0,0,1,1,0
CATMA1a09050,1,0,0,0,1,0
CATMA1a09070,1,0,0,1,0,0
CATMA1a09075,0,0,0,0,0,1
CATMA1a09080,1,0,0,0,0,0
CATMA1a09100,1,0,1,0,0,0
CATMA1a09110,1,0,1,0,0,0
CATMA1a09130,1,0,0,0,0,0
CATMA1a09140,1,0,0,0,0,0
CATMA1a09145,0,0,1,0,0,0
CATMA1a09160,1,0,1,0,0,0
CATMA1a09170,1,0,1,0,0,0
CATMA1a09190,1,0,1,1,1,0
CATMA1a09230,1,0,1,1,1,0
CATMA1a09250,0,0,0,0,0,1
CATMA1a09270,1,0,0,1,0,0
CATMA1a09275,0,0,0,1,0,0
CATMA1a09280,0,0,0,0,0,1
CATMA1a09285,0,0,0,1,0,0
CATMA1a09300,1,0,0,1,0,1
CATMA1a09310,0,0,1,0,1,0
CATMA1a09320,1,0,1,0,0,0
CATMA1a09322,0,0,1,1,1,1
CATMA1a09330,1,0,0,0,0,1
CATMA1a09335,1,1,1,0,1,1
CATMA1a09340,0,0,0,0,1,1
CATMA1a09360,1,0,1,0,1,1
CATMA1a09370,1,0,0,0,1,0
CATMA1a09400,0,0,1,1,1,1
CATMA1a09440,0,0,1,1,0,0
CATMA1a09460,0,0,0,1,0,0
CATMA1a09470,0,0,1,0,1,1
CATMA1a09500,1,0,1,0,0,0
CATMA1a09510,1,0,0,0,0,0
CATMA1a09520,1,1,1,0,1,1
CATMA1a09530,0,0,0,0,0,1
CATMA1a09540,1,0,0,0,1,1
CATMA1a09570,1,0,0,0,1,0
CATMA1a09580,1,1,1,1,1,0
CATMA1a09600,0,0,1,0,1,0
CATMA1a09620,1,1,1,0,0,0
CATMA1a09640,0,0,0,0,1,0
CATMA1a09660,0,0,0,0,1,0
CATMA1a09700,1,1,0,1,0,0
CATMA1a09720,0,0,0,1,1,1
CATMA1a09750,0,0,0,1,1,1
CATMA1a09755,1,0,0,0,0,0
CATMA1a09795,0,0,1,0,1,0
CATMA1a09810,0,0,0,0,1,0
CATMA1a09820,0,0,1,0,0,0
CATMA1a09830,0,0,0,0,1,1
CATMA1a09835,0,1,0,0,0,0
CATMA1a09850,1,0,1,1,1,1
CATMA1a09860,1,1,1,0,1,0
CATMA1a09870,0,0,1,0,0,0
CATMA1a09880,1,0,0,0,0,0
CATMA1a09890,0,0,0,0,1,0
CATMA1a09900,0,1,1,0,1,1
CATMA1a09910,0,0,0,1,0,0
CATMA1a09920,1,0,0,1,0,0
CATMA1a09930,0,0,0,0,1,0
CATMA1a09960,0,1,0,0,0,0
CATMA1A10020,1,0,0,0,0,0
CATMA1A10030,0,0,0,0,1,1
